Asia-Afrika	아시아-아프리카
lorong [2], berlorong	직업이 있는, 소득이 있는
lorong [3]	~에 대하여, ~에 관하여
lorot, melorot	(값이) 떨어지다, 하락하다
melorotkan	낮추다, 하락 시키다
los [1]	(시장의)노점, 매점, 창고, 헛간,
los [2]	수로, 안내선
los [3]	빠지다, 놓치다, 잃다
lose	(극장의) 특별석
losmen	여관(보통 hotel보다 작고 구식인 것), 여인숙
loteng [1][loténg]	이야기, 설화, 실화
loteng [2][loténg]	다락방(2층), 초라한 작은 방
lotere [loteré], lotto	복권 뽑기, 추첨
melotere	복권을 추첨하다
lotok, ngelotok	떨어져 나가다, 깎아내다
lotong	긴 꼬리 원숭이(검정 혹은 쥐색의)
lotot	응시하는, 눈을 크게 뜨는
melotot	(눈을)크게 뜨다(열다)
memelototi	화가 나서 눈을 부릅뜨다
loyalitas	충의, 충성, 충절, 성실
lowong	빈, 텅 빈, 채워지지 않은
melowongkan, mengkosongkan	비우다, 결원(공석)을 만들다
lowongan	빈 곳, 결원, 공석
itu mengisi lowongan	(그것이 빈자리를 채운다)
pekerjaan yang loeong tidak ada di sini	(여기에는 비어 있는 일자리가 없다)
loya, meloya, mual	토할 것 같은, 메스꺼운
loyak	아주 연한, 부드러운
loyal	충성스러운, 충실한, 충성을 다하는
loyalitas	충성, 성실, 충실
loyo	약한, 무력한, 연약한, 박약한
lsolasi	투명(스카치)테이프
lsolasi nachi	절연테이프(전기용)
LST (Laporan Kegiatan Penanaman	Modal)특별 소비세
lu	당신, 자네
luah	구역질나게 하는, 느글거리게 하는, 신물나는
luwak, luak	사향고양이
luang	빈, 비어있는
berpeluang	기회를 잡다
meluangkan	비우다, 틈을 내다
peluang	기회, 호기, 평온, (바람이)잠잠해 짐
luap, meluap	넘치다, 넘쳐흐르다
luar	바깥쪽, 외부, 외관
keluar	밖에(으로), 외부에(로)
keluar kapal	배 밖으로, (배에서) 물 속으로
keluaran	산출, 생산, 생산물
luar biasa	초자연적인, 이상한, 기이한, 불가사의한
luar kota	시골, 지방
luar negeri	외국으로[에], 해외로[에]
mengeluarkan	내보내다, 생산하다
pengeluaran	지출, 배출, 축출, 제명, 해고
luas	넓은, 광대한, 광활한
keadaan luas	외부의, 밖의, 표면의, 외관의
keluasan	범위, 지역, 넓이
luasnya	넓이, 넓음, 면적
meluas	(손·발 따위를) 뻗다, 펴다, 전개하다, 늘이다
meluaskan	팽창시키다, 부풀게 하다, 넓히다
perluasan	확장
seluas-luasnya	가능한 한 널리 보급하다
terbuka luas	넓게 열려있는, 광할하게 펼쳐 져 있는
luasa, leluasa	마음 놓고, 편하게
luat, meluat	구역질 나다, 메스껍다
luban	향(香), 향로
luban jawi	안식향
lubang, lobang	구멍, 홈, 패인 곳
berlubang	구멍이 있는, 구멍이 난
berlubang-lubang	관통한, 구멍이 난, 구멍이 많은
lubang besar dalam tanah	땅에 생긴 큰 구멍
lubang jalan	깊은 구멍, (가로·포장 도로 등에 생긴) 둥근 웅덩이pothole
lubang kancing	단춧구멍
lubang kunci	열쇠구멍
lubang palka	(갑판의) 승강구, 창구(艙口)
lubang pembuang air	물구멍
lubang perangkap	(사람·동물 등을 잡는) 함정
lubang perlindungan	벙커, 지하 엄폐호
lubang terowongan	(땅의) 구덩이, 구멍, 갱(坑)
lubang yang tertutup	닫혀 진 구멍
melubangi (dengan bor)	굴(구멍)을 파다, 뚫고 들어가다
pelubangan	(동물을 잡기 위한) 함정
luber [lubér], meluber	넘쳐 흐르다, 범람하다
lubuk	(강·바다의)깊은 곳, 심연, 깊숙이 들어간
lubuk hati	마음이 깊은, 잠재의식
lubur, belubur	쌀광
lucah	비열한, 치사한, 음란(외설)한
kelucahan	수치, 오명, 음란, 외설
lucu	익살스러운, 재미있는
Oh ade kecil ini cantik(lucu) sekali	(와! 이 여자아이는 아주 예쁘네요)
kelucuan, lucu-lucuan	농담, 재담, 익살
melucu	농담을 하다
pelucu	익살꾼, 농담하는 사람
lucup, melucup	(물 속으로)뛰어들다, 물속에 잠기다
lucut [1], melucut	(묶음 따위가)스스로 풀리다, 헐거워 지다
melucuti	무기를 빼앗다, 무장을 해제하다
melucutkan	(옷·가면 따위를)벗다
perlucutan senjata	무장 해제,군비 철폐[축소]
terlucut	빠져 나가다
lucut [2], melucut	(피부·껍질 따위가)벗겨진
lucut [3]	없어지다, 사라지다
ludah	침, 타액(唾液)
berludah, meludah	침을 뱉다
meludahi	~을 멸시하다, ~에 침을 뱉다
meludahkan	침을 뱉다, (폭언 따위를)퍼붓다
peludah	타구(唾具), 침을 받는 용기
ludes [ludés]	조각난, 부서진, 모두 없어져 버린
luding, tenggiri luding	삼치류의 물고기
ludruk	춤과 음악을 겸한 동부 자바의 연극
lugas	단순한, 간소한, 밈이 없는, 있는 그대로의
kelugas	적당, 알맞음, 요점, 목표
melugaskan	단순화하다, 단일화하다, 간단(평이)하게 하다
lugu [1]	꾸밈없는, 천진난만한
lugu [2]	배부른, 만족하는
lugut, miang	(대나무의)모용, 잎줄기의 표면에 난 털
selugut	아주 적은 량의, 소량의
luh, loh	칠판, 흑판, 서판
luhung	고상한, 숭고한, 고결한
luhur	영광스러운, 명예[영예]로운, 장려한, 거룩한
keluhuran	고매함, 숭고, 장엄, 신성함
meluhurkan	영광스럽게 하다, 숭고히 하다
luik, meluik	똑똑 떨어지다, 토하려고 헉헉 거리다
luing	뽕과의 식물
luk, eluk	만곡부, 굽음, 휨
luka	부상, 상처, 손상
luka baring	욕창
luka berat	외상(성 증상)
luka bernanah	궤양, 종기
luka goresan	(피부의) 벗겨짐, (암석의) 삭마(削磨)
luka memar	타박상, 좌상(挫傷)
luka perasaan	상해(傷害), 위반, 반칙
luka terbakar, lepuh	화상
melukai, menyakiti	~에 상처를 주다, ~에 부상을 입히다
melukakan	아프게 하다, 상처를 주다
sore, wound, hurt	(사고 등에 의한) 상해, 상처, 위해
lukah	새장 또는 바구니 모양을 한 물고기 잡이 그물의 일종
melukah	그물을 치다
lukis, melukis, melukiskan	그리다, 그림 그리다
lukisan	그림, 회화, 묘소, 서술
lukisan abstrak	추상화
lukisan benda mata	정물화
lukisan pemandangan	풍경화
melukiskan kembali	기분 전환을 시키다, 휴양시키다
pelukis	화가, 칠하는 사람, 삽화가
pelukisan	그리기, 묘사
luks	사치스러운, 호사스러운
luku	보습
meluku	쟁기질 하다, 쟁기로 땅을 갈다
lukup	뒤엎다
lukut	검정말
luli [1]	물레
meluli	물레에 실을 감다
luli [2]	물 전구
lulu, melulu	단지, 오직, 순전히
Mululu untuk dinas	공무에만 사용할 것
luluh [1]	부서진, 분쇄된
meluluhkan	가루로 만들다
meluluh-lantakkan	완전히 부수다, 동화하다
peluluhan	융합, 동화
luluh [2]	건축재료로 쓰이는 반죽
luluk [1]	진흙
berluluk	진흙 투성이의, 진창의, 질퍽한
terluluk	진창이 된, 질퍽해 진
luluk [2]	간첩, 스파이
meluluk	밀탐하다, 정탐하다
lulum, melulum	빨다, 빨아먹다
lulung	짖다, 울부짖다
lulur [1], melulur	매끄럽게 들어가다, (꿀떡)삼키다
lulur [2]	화장용 가루분
lulur [3]	연한 허리고기, 필레 살
lulus	통과하다, 합격하다
lulusan	졸업, 졸업생
meluuskan	허가하다, 통과시키다
saudara selulusan	(아버지가 같지 않은)형제
selulusan paian	옷(의상) 한 벌
lulut [1]	가루분
berlulut	분으로 몸을 문지르다
melulut	분으로 몸을 문질러 주다, 안마하다
pelulut	안마사, 맛사지사
lulut [2]	길들여 진, 순종하는, 사랑에 빠진
lumak	유연한, 부드러운, 연한
lumang, berlumang	오물이 묻은, 더러워진
melumangkan	더럽히다, 때 묻히다
lumar, lumur, cemar	진흙, 진창, 오물
berlumar	더럽혀 진, 때가 묻은
melumar(i)	더럽히다, 오손하다
lumas, melumas, mengoles	기름을 바르다, 기름을 치다
melumasi	(환부)에 물약을 바르다, 찜질하다
pelumas	미끄럽게 하는 것, 윤활유, 윤활제
lumat	가루로 된, (밀가루 처럼)고운, 분쇄된
melumat	가루로 만들다, 빻다
pelumat	미분기(微粉機), 분쇄기, 분무기, 분쇄자
lumayan, agak banyak, cukup	일이 잘되어 가는, 적당한, 충분한
O, lumayan juga	(아, 괜찮군요)
lumba [1], lomba	경쟁, 시합
lumba [2], lumba-lumba	돌고래
lumbal	허리
lumbar	요추, 허리등뼈
lumbung, gudang padi	헛간(벼를 보관하는 곳), 창고
mengumpulkan gandum-Nya ke dalam lumbung	(알곡은 모아 곡간에 들이고 마
lumbang desa	마을 공동 창고
lumer	(죽 따위가) 곱고 부드러운
melumarkan	부수다, 분말로 만들다
lumer [lumér]	유동성 있는
lumpang	(대나무로 만든) 절구통, 대포의 총신
lumping	피부 경결, 못, 생가죽, 단단한
lumpuh	마비된, 중풍의
kelumpuhan	마비, 중풍
melumpuhkan	마비시키다, 무능력(무능)하게 만들다
	(무기의 부족이 군사력을 마비시켰다)
lumpuk, melumpukkan	모으다, 쌓다
lumpur	진흙, 진창
lumpur tebal terapung	떠 있는(표류하는) 두터운 진흙
lumrah	정상의, 보통의, 통상(通常)의
lumrahnya	보통, 통례적으로, 일반적으로, 평소(에는)
lumur	(기름 따위를) 바르다, 문대다, 매대기 치다
pelumuran	도포(塗布) 표본, 착색제[액]
melumurkan	더럽히다, 얼룩지게 하다, 번지게 하다
lumuran, noda	얼룩, 때, 오점
lumus	더럽혀진, 얼룩 진
tungkus lumus	열중하는, 몰두하는
lumut	이끼, 곰팡이
berlumutan	이끼투성이의
lunak	연한, 부드러운, 온순한
melunak	부드러워지다, 연해지다
melunaki	부드럽게 대하다, 위로하다
melunakkan	부드럽게 만들다, 연하게 만들다
melunakkan hati	편하게 해주다, 위안을 주다
memperlunak	~을 좀더 부드럽게 만들다, 좀더 완화하다
lunas [1]	지불된, 변제한, 갚은
Utangnya sudah lunas	(그의 빚은 변제되었다)
melunasi, melunaskan	지불하다, 변제하다, 갚다
melunaskan hutang	빚을 청산하다, 부채를 갚다
pelunasan	빚(부채)의 변제, 지불
lunas [2]	배의 용골
lunau, lumpur	진흙, 진창
luncai, si luncai	올챙이의 배(의), 배불뚝이(의)
luncas	들리다, 빗나가다, 놓쳐 버리다
Tembaknya luncas	(그의 사격은 빗나갔다)
Giliran saya sudah luncas	(내 차례가 벌써 넘어가 버렸다)
keluncasan	빗나감, 잘못, 실수
luncip	끝이 뾰족한, 날카로운
luncung	뽀족한, 뾰족하게 튀어나온
Tikus luncung muncungnya	(쥐는 주둥이가 뾰족하다)
meluncungkan	뽀족하게 만들다, 튀어나오게 하다
luncur, meluncur	미끄러지다, 미끄러져 가다
meluncur dengan cepat	(돌·화살·차 등이) 돌진하다, 고속으로 움직이다
meluncurkan	발진(發進)시키다
peluncur	발사통, 척탄통(擲彈筒), 로켓 발사 장치
peluncuran	(새 배의) 진수(식), (책의)출간, (로켓 등의) 발진blast
lundi	(곤충의) 유충, 애벌레
lundu	담수어의 일종
lung [1], keluk	곡선, 활
lung [2], sulung	맏이, 장자(녀)
lung [3], long	폭죽, 딱총
lung [4]	(시체를 넣는) 밑바닥이 없는 관
lungguh [1], melungguh	편하게 앉다, 착석하다
lungguh [2], lungguhan	속령, 속지, 공복에게 봉급으로 주는 토지
lungkang	도랑, 개천, 배수구
lungjum	둥근(아아치) 모양으로 된, 볼록한, 반원형의
lungjkup	뒤엎다
lunglai, lemah lunglai	연한, 부드러운, 약한, 기운이 빠진
lunglit	여윈, 쇠약해 진
lungsin	직물의 날을 이룬 실, 경사(經絲)
lungsur [1], melungsur, longsor	사태, 미끄러져 내려가다
lungsur [2], lungsuran	낡은(옷 따위), 버린, 오래된, 고물
lunjur, belunjur	(다리를) 쭉 펴고, 뻗은 채로
melunjurkan	(다리를) 쭉 펴다, 내뻗다
lunta, terlunta-lunta	계속 고통을 당하다, 불행하게 지내다
luntang [1], luntang-lantung	놀고 지내다, 빈둥 거리다, 유랑하다
luntang [2], peluntang	낚시 찌, 부표
luntas	울타리용 치자나무
luntur [1]	빛깔이 바래다, 희미해 지다, 변심하다
kelunturan	변색, 퇴색
luntur warna	퇴색된 색
melunturi	퇴색시키다, 변색시키다
melunturkan	변하게 하다, 약하게 하다
luntur [2]	통변이 잘되는
meluntur	관장하다
peluntur	관장약
lunyah, melunyah	짓밟다, 마구 밟다
lup [1]	총신
lup [2]	확대경
lup [3]	(맏)아들을 부르는 호칭
lupa [1]	잊다, 망각하다, 잊어버리다
Jangan lupakan itu!	명심하시오!
kelupaan	잊어버린, 망각한
lupa-lupa ingat	기억이 희미한, 어렴풋이 생각나는
melupai, mengelupai	~을 잊다, ~을 망각하다
melupakan	잊다, 망각하다, 생각이 안 나다
pelupa	잘 잊어 버리는 사람, 건망증이 심한 사람
pelupaan	망각, 잊어버림
terlupa	잊어버린, 망각한
lupa [2], lupa-lupa	(물고기의) 부레
lupak, lopak	웅덩이
lupas, melupas	껍질을 벗기다
lupat	조개의 일종
lupis	찹쌀로 만든 과자의 일종
lupuh, melupuh	(대나무를) 평평해 지도록 치다
luput	모면한, 피한, 사라지다, 없어지다
terluput	모면된, 벗어난
meluputkan	건져내다, 해방하다, 풀어주다
lurah [1]	협곡, 골짜기, 계곡, 홈
lurah [2]	동장, 촌장
kelurahan(Kel)	동(洞), 촌락(행정단위)
lurik	중부 자와 산 줄무늬가 있는 직물
luru, meluru, mengejar	쫓다, 추적하다, 쫓아 다니다
peluru	총탄
peluru dumdum	덤덤탄(彈)(명중하면 퍼져서 상처가 커짐)
peluru gotri	(구식 총의) 총탄, (공기총 따위의) 산탄(霰彈)
lurub(an)	관(棺)을 싸는 천, 관의(棺依)
luhuh [1] Meluruh	(과일, 나뭇잎이) 떨어지다, 털갈이 하다
luruh bulu	털갈이
peluruh keringat	발한제(發汗劑)
luhuh [2]	지역, 점령지구
luhuh [3]	물러서다, 그만두다
lurus	똑바른, 일직선의, 정직한, 평탄한
Ia lurus hati	(그는 정직하다)
luruskanlah jalan bagi-Nya	(그의 첩경을 평탄케 하라 마
berselurus	정의롭게 행하다, 정직하게 일하다
kelurusan, keadilan	정직, 공평, 정의, 공정
meluruskan, memperlurukan	똑바르게 하다, 정직하게 행동하다
pelurusan	정확함, 곧음, 일직선
selurusnya	사실은, 실은
tangan tak lurus	정직하지 않은
lurut [1]	(나뭇잎 따위가) 떨어지다, 낙오하다
lurut [2], melurut	(반지 따위를) 벗다, (물기를)빼다
melurutkan diri	가다, 떠나다, 출발하다
lus melus kain	옷을 다리다, 다림질하다
lusa	모레
besok lusa	머지않아, 곧, 이윽고
lusinan	수십(개)
lusin	다스, 타(打), 12개
selusin	한 다스
perlusin	수십(개)씩
lusuh	낡은, 바랜, 오래된
lut [1]	상처를 입기 쉬운
tidak lut	죽지 않는, 불사신의
luti [1]	다 낡은, 헐어 빠진
luti [2], cacar	천연두
lutu [1], melutu	공격하다, 기습하다, 습격하다
lutu [2]	오물, 때
ber(si)lutu	아주 더러운, 꼬질꼬질한
lutut	무릎
berlutut	무릎을 꿇다, 넘겨주다, 항복하다
luwe, keladi	토란
luwes	마음을 끄는, 부드러운
keluwesan	공손함, 착함, 애교, 끄는 힘
luyak	(밥 따위가 너무) 진, 물기가 많은
luyu	(눈이) 졸리는 듯한, 맥 풀린, 힘없는
luyut, meluyut	(열매가 많아서) 가지가 휜, 늘어진
m	미터(meter), 분(menit)
M (Masehi)	기원 후, 서기, 기독교인
ma, mak	어머니
maab	저승
maaf	(사죄·변명) 미안합니다, 죄송합니다
Maaf, bolehka saya bertanya?	(죄송합니다, 질문을 해도 되겠습니까?)
bermaaf-maafan	(금식 마지막 날에) 서로를 용서 해주다
memaafi	용서해 주다, 관대히 봐 주다
Tentu saya maafi engkau	(물론 당신을 용서해 주겠다)
Kesalahan itu susah dimaafkan	(그 잘못은 용서 받기 힘들다)
Maafkanlah kalau ada kesalahan saya	(내게 잘못이 있다면 용서해 주십시오)
memaafkan	용서하다, 너그럽게 봐주다
maafkan saya	(나를)용서해 주세요
pemaaf	용서하는 사람
permaafan	용서, 사면
malim, mualim	수로 안내인, (회교)종교지도자
mabir, tabir	모든 종류의 휘장
mabriuk	협동하다(도로, 하수도 등을 공사 할 때)
mabrur	(성지순례가) 알라신에 의해서 수렴되는
mabud	(신의) 위엄, 존엄
mabuh	일당으로 벼를 베다(마두라 지방)
mabuk, mabok	술 취한
kemabukan	취하게 하다, 도취[흥분]시키다
mabuk udara	비행기 멀미
memabukkan	취하게 하다, 도취(흥분)시키다
pemabuk	주정뱅이, 술고래, 모주꾼
mabul	어수선한, 뒤죽박죽, 엉망진창의
mabul-mabul	엉망진창의
mabur	날아가다, 도망치다
macakal	자와 관현악의 일종
macam	종류, 품질, ~와 같은, 유사한, 방법
Ini macam yang terbaik	(이것이 가장 좋은 품질이다)
Macam apa ibu mau?	(어떤 종류를 원하십니까, 부인?)
Macam siapa anak itu? (dl	아이는 누구를 닯았습니까?)
Bykan macamnya	(그 것은 방법이 못된다)
Macam radio itu saya suka	(그와 같은 형태의 라디오를 좋아한다)
macam-macam, jenis-jenis	여러 가지, 여러 종류, 이상한
bermacam-macam	여러 가지의, 가지각색의
menpermacam-macamkan	차별 대우를 하다, 다르게 취급하다
semacam, sm	같은 종류의, 같은 형태의
Rumah itu semacam rumah kami	(그 집은 우리 집과 비슷하다)
macan	호랑이
macan tutul, harimau bintang	표범, 표범 무늬가 있는
macan-macanan	장난감 호랑이
memacani	놀래 키다, 위협하다
macang	망가의 일종
macapat	자와 전통 시의 형식
macat	꽉 들어 찬
mace, macik	아주머니
macet	막힌, 정체, 움직이지 않는
kemacetan	멈추기, 정지, 장애, 고장, 지장, 파업, 휴업
kemacetan lalu-lintas	(막히어) 꼼짝 못 하게 되다
memacetkan	막히게 하다, 무겁게 하다, 괴롭히다
macet total	(교통 따위가) 완전히 마비되다
maciok, macok	마작(麻雀)(에서 이기다)
macis	성냥
mad(d)	모음의 장음화
mada	우둔한, 멍청한, 어리석은
madah [1]	찬사, 찬미, 칭찬, 찬양
bermadah	(신을) 찬미하다, 찬양하다
madahan	노래, 창가, 성악
memadahkan	표현하다, 말하다, 표시하다
pemadah	종교인, 신을 찬미하는 사람
madah [2], maddah, maddat	장모음 부호
madli	뿔 피리의 일종
medali	메달, 상패, 기념패, 기장, 훈장
madaliun, medalion	큰 메달, 원형 양각
madam, nonya	부인
madan [1]	나의 것, 나의 소유물
madan [2]	광산, 광갱(鑛坑), 광상(鑛床)
madan mas	금광 산
medan pertempuran	전장, (비유) 투쟁 장소
madang	(먹는) 쌀
madani	시의, 도시의, 시민[공민]의
madap	얼굴, 얼굴 모습, 면, 표면
madar	우둔한, 낯이 두꺼운
Ia berbuat sebagai orang yang madar saja	(그는 우둔한 사람처럼 행동한다)
madarat	손해, 실패
madarsah, madarsah	(이슬람) 종교학교, 교육기관
madat [1]	아편
bermadat	아편을 맞다(피우다)
pemadat	아편쟁이
pemadatan	이편을 함, 아편 굴
madat [2]	망대, 망루, 감시탑
madewi	처, 아내
madi [1]	물질적인, 실체의, 유형의
madi [2], mazi	건물
madia, marya	중간
madik	처녀에게 청혼을 청하기 위한 남자 측 대표(발렘빵 지방)
Madinah	메디나(사라비아 서부의 도시, 모하맏의 무덤이 있음)
madinding	남편이 잠정적으로 처가 친척집에 살다가 결혼하는 풍습(바딱 지방)
madmadah	(목욕재계 전) 입을 헹구어 씻다
madon	계집질하다
Madona	성모 마리아, 그 상(像)
madras	(질긴)비단 (광목)
madrasah, madarsah	(이슬람) 종교학교, 교육기관
madu [1]	제 2(3)의 부인( 일부다체제에서)
bermadu	제 2(3)의 부인을 소유하고 있음
memadui	~를 제 2(3)의 부인으로 맞아들이다
mempermadukan	제1부인으로 하여금 제2부인을 두게 하다
Ia pempermadukan istrinya	(그는 첩을 얻었다)
permaduan	일부 다처(제), [식물] 자웅 혼주(混株)
madu [2]	꿀, 벌꿀, 매우 달콤한
madu hutan	석청
makanannya belalang dan madu hutan	(음식은 메뚜기와 석청이었더라 마
madu [3]	날카로운, 끝이 서로 맞닿은
madurakara	꿀벌, 금박을 입힌 견직물
madumangsa, dodol	과자의 일종
madya	중간, 평균, 보통
kota madya	구(區), 구청 소재지
Jakarta selatan Kota Madya	남부자카르타구
madzhab	(회교의) 종파
maen, main	놀다
maesan, mesan	묘비
maestro	훌륭한 작곡가, (예술의) 대가
mafela, syal	목도리, 머플러, 숄, 어깨 걸치개
mafhum	알다, 이해하다
Ia sudah mafhum akan isi buku itu	(그는 그 책의 내용을 이해했다)
memafhumi	~에 관하여 이해하다
mafia	마피아
kemafiaan	마피아에 관한 문제(업무)
mafioso	마피아의 일원
mafsadah, mafsadat	패가망신
	(노름은 가난, 나태 그리고 다른 범죄 등의 패가망신을 야기 시킬 수 있다)
mag, lambung	위(胃)
magainin, antibiotika	항생물질(액)
magalah	왕궁 경비대(창을 갖고 있는)
magang [1]	견습사원, 실습생
pemagangan	견습, 실습
magang [2]	(과일이) 너무 익은, 거의 신맛이 나는
magasin	창고, 저장소, 탄창
magel [1]	덜 익은, 미숙한, 완전하지 못한
magel [2]	지식이 불충분한
magersari [1]	(다른 사람 집에 사는)동거인, 이주민의 원조자
magersari [2]	[법률] 부동산 보유[점유]자
magfirah, magfirat	용서, 관용
maggi	부용(맑은 고기 수프)
magi [1]	마법, 마술, 기술, 요술
magi [2]	마기(고대 페르시아의 사제)
magi [3]	부이용, 고형 부이용(조미료)
magik, ,magis, mejik	마법의, 마술과 같은
magis	마법으로 일어난(듯한), 이상한, 매혹적인
magister	석사학위
magistrat	지방 정부, 지사, 판사
maglub, kalah	지다, 패하다
magma	마그마, 암장(岩裝)
magnesium [magnésium]	마그네슘
magnet [magnét], magnit	자석
kemagnetan	자기, 자성
magnetik [magnétik], magnetis	자석의, 자력이 있는
magnetika [magnétika]	자기학
magnetit [magnétit]	자철광
magnetometer [magnétométer]	자기계, 자력계
magnetor [magnétor]	자기 발전기
magnetostatika [magnétostatika]	정자기학
magnitudo	(별의) 광도
magobi, mahoni	나무의 일종
magrib, barat	서쪽, 서방, 일몰, 황혼
sembahyang magrib	일몰 기도(이슬람)
magribi	(회교에서의) 서쪽의, 서부의
magrur	자부심이 상한, 뽐내는
magun	영구한, 영속하는
mah [1]	큰, 위대한
mah raja	대왕(大王)
mah [2]	앞의 말을 강조 또는 부가하는 말
Kalau dia mah tidak berani!	(그는 용기가 없잖아!)
mah [3], maag	위(胃), 복부, 배, 위부(胃部)
maha	매우, 대단히, 큰, 위대한
maha baik	매우 좋은
maha besar	매우 큰, 거대한, 막대한
maha kuasa	전능한, 전능자, 신(God)
maha pengampun	관대한, 책망하지 않는, 인정 많은
maha penting	매우 중요한
maha raja	황제, 카이저
maha tahu	전지의, 무엇이든지 알고 있는
Mahaasih	(신의) 위대한 사랑
mahabah	애정, 동정
mahadahstat	거대한, 대단한, 놀라운
mahaduta	대사
permahadutaan	대사관
maha Esa	신, 유일 신(알라신)
Mahaesa	유일신
mahaguru	대학교수
kemahaguruan	교수의 직(지위)
mahah	일라 신을 생각하면서 자신을 깨달음
mahir	숙련된, 솜씨가 좋은
mahajana [1], orang-besar	위인
mahajana [2]	사회, 대중, 공중
mahakala	시바신의 화상
maha-keramat	신성한, 신성 불가침의
mahakarya	큰 일, 위대한 업적(작품)
Mahakuasa	전능한 신
mahal	돈이 드는, 값비싼, 고가의
memahalkan	가격을 올리다, 비싸게 만들다
Penjual-penjual memahalkan barang-barang	(상인들은 그들의 물건 값을 올렸다)
kemahalan	부족, 결핍, 품귀, 품절
Pada waktu segala harga naik	(품귀시에는 모든 물건 가격이 오른다)
	(너무 비싸기 때문에 나는 그 물건을 살 수 없다)
mahaligai	궁전, 왕궁
mahamenteri	고대 말레이 궁전의 대신, 수상
mahameru	신들이 머물던 산
mahamulia	고귀한, 숭고한, 최고의
mahang	식물의 일종
mahaparana	인간
mahapatih	수상, 재상
mahapencipta	위대한 창조
mahar	신랑이 신부에게 주는 값(돈․귀중품․식량 따위)
maharaja	황제, 제왕, 대왕
kemaharajaan	궁궐, 제국, 제왕의 주권
maharajalela, bermaharajalela	맹위를 떨치다, 고조에 달하다
maharana	대전(大戰)
maharani, maharatu	여왕, 왕후
mahardika	학식이 있는, 고상한, 귀족적인
maharesi	성현, 대성인(大聖人)
maharupa	몹시 아름다운, 절세미인의
mahasayang	몹시 자비로운, 대자 대비한, 인정이 많은
mahasiswa	대학생(남자)
kemahasiswaan	학생 업무(문제)
mahasiswi	여대생
mahasuci	신성한
mahatahu	(신으로서) 전지의, 박식의
mahatma	위대한 정신(간디에 대한 칭호)
Mahayaan	대승불교
mahbub, kekasih(laki-laki)	애인, 연인(남성)
mahbubah, kekasih(perempuan)	애인, 연인(여성)
mahdi	안내자, 지도자, 구세주
maherat	사라진, 자태를 감춘
mahesa, mahisa	물소
maheswara	시바신
mahful	마음에 간직하는, 깊이 새겨 두는
memahfulkan	기억해 두다
mahia	핵심, 원천
mahimahi	바다 물고기의 일종
mahir	숙련자, 명인(expert), 달인(達人)
Dia mahir sekali bahasa Indonesia	(그는 인도네시아어에 능통하다)
memahirkan, mempermahirkan	숙련시키다, 숙달시키다
kemahiran	숙련, 숙달, 능통
majisa, mahesa	물소
mahkamah, mahkamat	법원, 재판소
mahkamah agung	대법원
mahkota	왕관, 세력, 권세, 화관(花冠)
bermahkota	왕관을 쓰다, 왕이 되다
mahkota bangsawan	(왕자·귀족 등의) 소관(小冠)
memahkotai	권력을 행사하다, 왕에 즉위하다
permahkotaan	왕의 즉위
aster mahkota	쑥갓
mahligai	궁전, 왕궁
mahluk [1]	생물, (특히) 동물
mahluk [2], makhluk	(신의) 창조물, 피조물
mahluk yang bergerak sendiri	기계적으로 행동하는 사람[동물]
mahmud, terpuji	찬미 받는, 찬양 받는, 칭송 받는
mahoni	마호가니(材木), 적갈색
mahram	친족, 친지
mahayar	집합장소(죽은 후 부활하여 다시 모이는 곳)
hari mahsyar	부활의 날
mahsul, hasil mahsul	수익, 생산고, 생산물
mahwu	무아경(無我境)
mahyong	마작
mahzurat	종교의 금기사항
mai, puki mai	몹시 상스러운 욕설(어머니의 음부)
maido	비난하다, 의심하다
mail, mil	마일(1,609m)
maimun	운이 좋은, 행운의
main	놀다, ~놀이를 하다, 연기하다
bermain	놀다, ~을 가지고 놀다
bermain-main	농담의, 장난인
mainan	장난감, 완구
mainan, main-mainan	장난감, 노리개
main-main	빈둥거리다, 꾸물거리다
memainkan kembali	(레코드·테이프 등 특히 녹음[녹화] 직후의) 재생playback
memainkan lagi	다시 하다, 거듭하다, 재연(再演)하다
memainkan, mempermainkan	공연하다, 연주하다, 역할하다
pemain	선수, 운동가, 연주자, 노는 사람
permainan	경기, 시합, 게임, 놀이
mair, maut	죽음, 사망
mairat [1]	승천
mairat [2]	사라지다, 없어지다
mait, mayat, mayit	시체, 주검
maizena	옥수수 가루
maja, maja batu, maja ingus	과일 나무의 일종
majaan, majakane	(식) 오배자
majakaya	잇지 않은 한 개의 나무(봉)
majakeling	약용 열매의 일종
majal	무딘, 둔한, 날이 서지 않은
majalah	잡지, 간행물, 일기
majalah bergambar	화보, 그림이 든 잡지[신문]
majalah bulanan	월간지
majalah kejuruan	전문잡지
majas, kiasan	비유적인, 전의의
majasi	옳지 않은, 사실이 아닌
majedub	(신의) 선택 받은 사람, 정신 나간 사람
majelis [1]	회의, 평의회, 위원회
majelis gereja	종교회의
majelis luhur	최고회의
majelis pengadilan	재판소
majelis tinggi dan rendah	상원 및 하원
majelis [2], mejelis	귀여운, 예쁜, 정돈된
majemuk	합성의, 혼성의
kemajemukan	복수성(性), 다원론(多元論)
majenun	미친, 넋이 나간, 제 정신이 아닌
majer, majir, mandul	불모의, 메마른
majikan	고용주, 두목, 우두머리
majilis, bersih	깨끗한
majizat	기적, 경이로운 일, 괴사(怪事)
